                         Chocolate Doom 3.1.0
Z_Init: Init zone memory allocation daemon. 
zone memory: 0x734956d20010, 2000000 allocated for zone
Using /home/xerok/.local/share/chocolate-doom/ for configuration and saves
V_Init: allocate screens.
M_LoadDefaults: Load system defaults.
saving config in /home/xerok/.local/share/chocolate-doom/default.cfg
W_Init: Init WADfiles.
 adding freedoom-0.13.0/freedoom1.wad
===========================================================================
                           Freedoom: Phase 1
===========================================================================
 Chocolate Doom is free software, covered by the GNU General Public
 License.  There is NO warranty; not even for MERCHANTABILITY or FITNESS
 FOR A PARTICULAR PURPOSE. You are welcome to change and distribute
 copies under certain conditions. See the source for more information.
===========================================================================
I_Init: Setting up machine state.
OPL_Init: Using driver 'SDL'.
NET_Init: Init network subsystem.
M_Init: Init miscellaneous info.
R_Init: Init DOOM refresh daemon - .......................................
P_Init: Init Playloop state.
S_Init: Setting up sound.
I_SDL_PrecacheSounds: Precaching all sound effects.....................
D_CheckNetGame: Checking network game status.
startskill 2  deathmatch: 0  startmap: 1  startepisode: 1
player 1 of 1 (1 nodes)
Emulating the behavior of the 'Ultimate Doom' executable.
HU_Init: Setting up heads up display.
ST_Init: Init status bar.
When: 2026-05-20 15:37:19 Episode: 1 Map: 6
timestamp	 tic	 x	 y	 z	 angle	 momx	 momy
2026-05-20 15:38:44	 3063	 -246	1442	67	 308.82	 5	-6 	0
2026-05-20 15:38:45	 3098	 -47	1329	96	 315.85	 6	-5 	0
2026-05-20 15:38:46	 3133	 3	1213	96	 210.39	 -5	-3 	0
2026-05-20 15:38:47	 3168	 -140	1148	112	 199.84	 -1	-1 	0
2026-05-20 15:38:48	 3203	 -196	1036	112	 242.03	 -3	-7 	0
2026-05-20 15:38:49	 3238	 -400	923	112	 159.41	 -1	1 	0
2026-05-20 15:38:50	 3273	 -400	936	112	 162.92	 0	0 	0
2026-05-20 15:38:51	 3308	 -407	950	112	 157.65	 -3	1 	0
2026-05-20 15:38:52	 3343	 -416	975	112	 180.50	 -1	0 	0
2026-05-20 15:38:53	 3387	 -331	974	112	 143.59	 2	-1 	0
2026-05-20 15:38:54	 3422	 -381	1143	112	 96.13	 -2	7 	0
2026-05-20 15:38:55	 3457	 -398	1259	112	 83.82	 -1	2 	0
2026-05-20 15:38:56	 3492	 -391	1445	80	 53.94	 3	6 	0
2026-05-20 15:38:57	 3527	 -350	1527	64	 97.89	 0	0 	0
2026-05-20 15:38:58	 3562	 -485	1632	64	 178.74	 -8	0 	0
2026-05-20 15:38:59	 3597	 -597	1697	64	 133.04	 -1	2 	0
2026-05-20 15:39:00	 3632	 -664	1799	48	 115.46	 -5	6 	0
2026-05-20 15:39:01	 3667	 -773	2057	40	 99.64	 -2	6 	0
2026-05-20 15:39:02	 3702	 -805	2182	16	 110.19	 -3	5 	0
2026-05-20 15:39:03	 3737	 -891	2330	16	 184.02	 -3	1 	0
2026-05-20 15:39:04	 3772	 -939	2358	16	 161.17	 -4	1 	0
2026-05-20 15:39:05	 3807	 -1045	2343	0	 210.39	 -6	-3 	0
2026-05-20 15:39:06	 3842	 -1166	2306	-14	 155.89	 -5	1 	0
2026-05-20 15:39:07	 3877	 -1369	2401	-24	 148.86	 -6	2 	0
2026-05-20 15:39:08	 3912	 -1379	2442	-24	 187.76	 -2	-1 	0
2026-05-20 15:39:09	 3947	 -1425	2421	-24	 186.16	 -2	-1 	0
2026-05-20 15:39:10	 3982	 -1485	2403	-40	 219.56	 -1	-1 	0
2026-05-20 15:39:11	 4017	 -1491	2448	-40	 270.53	 0	0 	0
2026-05-20 15:39:12	 4052	 -1491	2444	-40	 293.46	 -1	-1 	0
When: 2026-05-20 15:39:19 Episode: 3 Map: 1
timestamp	 tic	 x	 y	 z	 angle	 momx	 momy
2026-05-20 15:39:21	 4312	 49	-225	32	 180.00	 -7	-1 	0
2026-05-20 15:39:22	 4347	 -149	-218	32	 107.93	 -3	2 	0
2026-05-20 15:39:23	 4382	 -233	-1	8	 92.11	 -2	6 	0
2026-05-20 15:39:24	 4417	 -235	-24	8	 180.00	 -6	-1 	0
2026-05-20 15:39:25	 4452	 -410	66	0	 99.14	 -4	6 	0
2026-05-20 15:39:26	 4487	 -402	301	8	 355.43	 -1	2 	0
2026-05-20 15:39:27	 4522	 -449	317	8	 286.88	 0	-2 	0
2026-05-20 15:39:28	 4557	 -424	216	8	 269.30	 0	-1 	0
2026-05-20 15:39:29	 4592	 -418	226	8	 295.66	 1	-3 	0
2026-05-20 15:39:30	 4627	 -276	76	8	 25.31	 3	-2 	0
2026-05-20 15:39:31	 4662	 -205	201	8	 93.87	 0	7 	0
2026-05-20 15:39:32	 4697	 -273	468	80	 86.84	 -3	7 	0
2026-05-20 15:39:33	 4732	 -248	726	112	 72.77	 0	3 	0
2026-05-20 15:39:34	 4767	 -236	902	112	 93.87	 0	7 	0
2026-05-20 15:39:35	 4802	 -272	1066	112	 53.44	 -2	-3 	0
2026-05-20 15:39:36	 4837	 -236	1082	112	 32.34	 5	3 	0
2026-05-20 15:39:37	 4872	 -33	1261	107	 42.89	 5	6 	0
2026-05-20 15:39:38	 4907	 -49	1308	96	 283.36	 1	-5 	0
2026-05-20 15:39:39	 4942	 -116	1094	112	 207.77	 -6	-6 	0
2026-05-20 15:39:40	 4977	 -350	1084	112	 112.85	 -5	5 	0
2026-05-20 15:39:41	 5012	 -477	1298	96	 165.59	 0	2 	0
2026-05-20 15:39:42	 5047	 -464	1285	96	 112.85	 2	-4 	0
2026-05-20 15:39:43	 5082	 -374	1389	80	 56.60	 4	6 	0
2026-05-20 15:39:44	 5117	 -436	1415	80	 2.11	 -2	-1 	0
2026-05-20 15:39:45	 5152	 -416	1415	80	 3.87	 2	0 	0
2026-05-20 15:39:46	 5187	 -391	1417	80	 3.87	 -9	-1 	0
2026-05-20 15:39:47	 5222	 -469	1396	80	 42.54	 -1	-1 	0
2026-05-20 15:39:48	 5260	 -552	1320	96	 14.41	 -1	-2 	0
2026-05-20 15:39:49	 5295	 -552	1296	96	 14.41	 0	-1 	0
2026-05-20 15:39:50	 5339	 -546	1293	96	 23.20	 2	1 	0
2026-05-20 15:39:51	 5374	 -361	1409	80	 70.66	 4	5 	0
2026-05-20 15:39:52	 5409	 -215	1592	72	 330.47	 1	1 	0
2026-05-20 15:39:53	 5444	 -80	1562	64	 258.40	 1	4 	0
2026-05-20 15:39:54	 5479	 -109	1520	64	 291.80	 1	-1 	0
2026-05-20 15:39:55	 5514	 -100	1520	64	 219.73	 -3	-1 	0
2026-05-20 15:39:56	 5549	 -123	1496	80	 290.04	 -1	0 	0
2026-05-20 15:39:57	 5584	 -82	1431	80	 253.12	 0	-2 	0
2026-05-20 15:39:58	 5619	 -86	1399	80	 144.14	 -2	0 	0
2026-05-20 15:39:59	 5654	 -54	1409	80	 197.18	 0	-1 	0
When: 2026-05-20 15:40:12 Episode: 3 Map: 1
timestamp	 tic	 x	 y	 z	 angle	 momx	 momy
2026-05-20 15:40:14	 6137	 -68	-212	32	 136.05	 -8	2 	0
2026-05-20 15:40:15	 6172	 -219	-53	27	 151.88	 -5	5 	0
2026-05-20 15:40:16	 6207	 -426	82	0	 176.48	 -4	1 	0
2026-05-20 15:40:17	 6242	 -372	215	8	 255.59	 2	7 	0
2026-05-20 15:40:18	 6277	 -371	164	8	 255.59	 -2	-8 	0
2026-05-20 15:40:19	 6312	 -417	-6	0	 267.89	 -3	-1 	0
2026-05-20 15:40:20	 6347	 -512	80	0	 343.48	 -2	1 	0
When: 2026-05-20 15:40:23 Episode: 3 Map: 1
timestamp	 tic	 x	 y	 z	 angle	 momx	 momy
2026-05-20 15:40:26	 6509	 -45	-208	32	 130.78	 -3	0 	0
2026-05-20 15:40:27	 6544	 -77	-187	32	 125.51	 -1	1 	0
2026-05-20 15:40:28	 6579	 -115	-149	32	 139.57	 -2	1 	0
2026-05-20 15:40:29	 6614	 -135	-131	32	 125.51	 -1	0 	0
2026-05-20 15:40:30	 6676	 -140	-225	32	 83.32	 0	0 	0
2026-05-20 15:40:31	 6711	 -124	-88	32	 83.32	 0	1 	0
2026-05-20 15:40:32	 6746	 -128	-121	32	 86.84	 -1	-1 	0
2026-05-20 15:40:33	 6781	 -156	-74	32	 180.00	 -4	1 	0
2026-05-20 15:40:35	 6816	 -359	-72	8	 199.34	 -3	-1 	0
2026-05-20 15:40:35	 6851	 -187	-41	8	 176.48	 7	0 	0
2026-05-20 15:40:36	 6886	 -56	-171	32	 116.72	 3	-7 	0
2026-05-20 15:40:38	 6921	 34	-317	32	 121.99	 1	0 	0
2026-05-20 15:40:38	 6956	 18	-270	32	 146.60	 -1	0 	0
2026-05-20 15:40:40	 6991	 72	-315	32	 139.57	 2	-3 	0
2026-05-20 15:40:40	 7026	 115	-313	32	 106.17	 1	0 	0
2026-05-20 15:40:41	 7061	 165	-237	32	 172.97	 5	-2 	0
2026-05-20 15:40:43	 7096	 195	-266	32	 146.60	 -1	-1 	0
2026-05-20 15:40:45	 7173	 192	-266	32	 129.02	 -2	1 	0
2026-05-20 15:40:46	 7208	 103	-142	32	 158.91	 -1	0 	0
2026-05-20 15:40:47	 7243	 51	-159	32	 266.13	 -1	-1 	0
2026-05-20 15:40:48	 7281	 38	-164	32	 306.56	 -1	-1 	0
2026-05-20 15:40:50	 7345	 33	-161	32	 237.74	 -1	0 	0
When: 2026-05-20 15:40:52 Episode: 3 Map: 1
timestamp	 tic	 x	 y	 z	 angle	 momx	 momy
2026-05-20 15:40:54	 7473	 49	-225	32	 180.00	 -7	-1 	0
2026-05-20 15:40:55	 7508	 -145	-171	32	 107.93	 -2	0 	0
2026-05-20 15:40:57	 7551	 -159	-165	32	 95.62	 0	-3 	0
2026-05-20 15:40:58	 7586	 -152	-248	32	 62.23	 0	1 	0
2026-05-20 15:40:59	 7621	 -6	-154	32	 78.05	 1	-1 	0
2026-05-20 15:41:00	 7656	 -27	-189	32	 146.60	 -5	3 	0
2026-05-20 15:41:01	 7691	 -219	-92	32	 181.76	 -2	0 	0
2026-05-20 15:41:02	 7726	 -316	-81	8	 190.55	 3	0 	0
2026-05-20 15:41:03	 7761	 -99	-50	32	 148.36	 7	-2 	0
2026-05-20 15:41:04	 7796	 -96	-250	32	 86.84	 -2	-8 	0
2026-05-20 15:41:05	 7831	 -27	-320	32	 93.87	 1	-2 	0
2026-05-20 15:41:06	 7866	 19	-318	32	 148.36	 0	0 	0
2026-05-20 15:41:08	 7940	 71	-316	32	 171.21	 5	0 	0
2026-05-20 15:41:09	 7975	 137	-312	32	 143.09	 1	-1 	0
2026-05-20 15:41:10	 8010	 162	-292	32	 162.42	 -1	-1 	0
2026-05-20 15:41:11	 8045	 90	-289	32	 167.70	 -7	0 	0
2026-05-20 15:41:12	 8080	 -146	-183	32	 127.27	 -4	3 	0
2026-05-20 15:41:13	 8115	 -276	-7	8	 181.76	 -4	2 	0
2026-05-20 15:41:14	 8150	 -451	40	0	 99.14	 -4	4 	0
2026-05-20 15:41:15	 8185	 -394	262	8	 16.52	 3	4 	0
2026-05-20 15:41:16	 8220	 -314	233	32	 343.12	 5	-4 	0
2026-05-20 15:41:17	 8255	 -215	275	48	 106.17	 1	5 	0
2026-05-20 15:41:18	 8290	 -213	520	96	 74.53	 2	7 	0
2026-05-20 15:41:19	 8325	 -226	723	112	 118.48	 -2	7 	0
2026-05-20 15:41:20	 8360	 -263	985	112	 58.71	 3	7 	0
2026-05-20 15:41:21	 8395	 -195	1145	112	 58.71	 1	3 	0
2026-05-20 15:41:22	 8430	 -27	1313	96	 358.95	 4	3 	0
2026-05-20 15:41:23	 8465	 21	1288	96	 248.20	 -1	-7 	0
2026-05-20 15:41:24	 8500	 -126	1119	112	 237.66	 -6	-6 	0
2026-05-20 15:41:25	 8535	 -244	890	112	 228.87	 0	-2 	0
2026-05-20 15:41:26	 8570	 -271	938	112	 121.64	 -5	5 	0
2026-05-20 15:41:27	 8605	 -371	1184	112	 144.49	 -5	6 	0
2026-05-20 15:41:28	 8640	 -549	1330	96	 77.70	 1	1 	0
2026-05-20 15:41:29	 8675	 -375	1454	80	 46.05	 4	4 	0
2026-05-20 15:41:30	 8710	 -386	1335	80	 91.76	 0	-8 	0
2026-05-20 15:41:31	 8745	 -401	1313	96	 74.18	 0	1 	0
2026-05-20 15:41:32	 8780	 -403	1291	112	 86.48	 -2	-5 	0
2026-05-20 15:41:33	 8815	 -424	1226	112	 93.52	 -1	0 	0
2026-05-20 15:41:34	 8850	 -501	1303	96	 68.91	 -2	1 	0
2026-05-20 15:41:35	 8885	 -552	1231	96	 40.78	 -1	-1 	0
2026-05-20 15:41:36	 8944	 -439	1144	112	 304.10	 4	-7 	0
2026-05-20 15:41:37	 8979	 -226	1030	112	 58.36	 3	0 	0
2026-05-20 15:41:38	 9014	 -186	1039	112	 132.19	 2	-2 	0
2026-05-20 15:41:39	 9049	 -194	1073	112	 146.25	 -1	0 	0
2026-05-20 15:41:40	 9084	 -138	1033	112	 149.77	 -2	0 	0
2026-05-20 15:41:41	 9119	 -238	1087	112	 155.04	 -6	2 	0
2026-05-20 15:41:42	 9154	 -253	1070	112	 140.98	 5	-5 	0
2026-05-20 15:41:43	 9189	 -151	982	112	 153.28	 -1	0 	0
2026-05-20 15:41:45	 9231	 -239	1086	112	 140.98	 -7	4 	0
2026-05-20 15:41:46	 9266	 -456	1264	110	 84.73	 -4	6 	0
2026-05-20 15:41:47	 9301	 -377	1482	80	 26.72	 6	4 	0
2026-05-20 15:41:48	 9336	 -232	1551	72	 268.95	 0	0 	0
2026-05-20 15:41:49	 9371	 -324	1447	80	 225.00	 -6	-6 	0
2026-05-20 15:41:50	 9406	 -461	1216	112	 295.31	 0	-8 	0
2026-05-20 15:41:51	 9441	 -442	1126	112	 54.52	 0	-2 	0
2026-05-20 15:41:52	 9476	 -455	1249	112	 70.34	 0	7 	0
2026-05-20 15:41:53	 9511	 -351	1489	78	 3.54	 6	4 	0
2026-05-20 15:41:54	 9546	 -98	1449	80	 316.08	 7	-4 	0
2026-05-20 15:41:55	 9581	 -83	1411	80	 193.04	 -5	-2 	0
