                         Chocolate Doom 3.1.0
Z_Init: Init zone memory allocation daemon. 
zone memory: 0x7a3616aa1010, 2000000 allocated for zone
Using /home/xerok/.local/share/chocolate-doom/ for configuration and saves
V_Init: allocate screens.
M_LoadDefaults: Load system defaults.
saving config in /home/xerok/.local/share/chocolate-doom/default.cfg
W_Init: Init WADfiles.
 adding freedoom-0.13.0/freedoom1.wad
===========================================================================
                           Freedoom: Phase 1
===========================================================================
 Chocolate Doom is free software, covered by the GNU General Public
 License.  There is NO warranty; not even for MERCHANTABILITY or FITNESS
 FOR A PARTICULAR PURPOSE. You are welcome to change and distribute
 copies under certain conditions. See the source for more information.
===========================================================================
I_Init: Setting up machine state.
OPL_Init: Using driver 'SDL'.
NET_Init: Init network subsystem.
M_Init: Init miscellaneous info.
R_Init: Init DOOM refresh daemon - .......................................
P_Init: Init Playloop state.
S_Init: Setting up sound.
I_SDL_PrecacheSounds: Precaching all sound effects.....................
D_CheckNetGame: Checking network game status.
startskill 2  deathmatch: 0  startmap: 1  startepisode: 1
player 1 of 1 (1 nodes)
Emulating the behavior of the 'Ultimate Doom' executable.
HU_Init: Setting up heads up display.
ST_Init: Init status bar.
When: 2026-05-20 15:11:49 Episode: 1 Map: 6
timestamp	 tic	 x	 y	 z	 angle	 momx	 momy
2026-05-20 15:15:20	 7405	 610	208	-128	 94.92	 -1	0 	0
2026-05-20 15:15:21	 7440	 517	248	-128	 170.51	 -7	1 	0
2026-05-20 15:15:22	 7475	 239	261	-128	 182.81	 -9	-1 	0
2026-05-20 15:15:24	 7538	 80	252	-124	 174.02	 0	-1 	1
2026-05-20 15:15:29	 7708	 10	381	0	 101.95	 -4	6 	0
2026-05-20 15:15:30	 7743	 13	495	0	 47.46	 0	0 	0
2026-05-20 15:15:32	 7817	 -11	485	0	 175.43	 -6	-1 	0
2026-05-20 15:15:33	 7872	 -171	461	0	 282.66	 1	-5 	0
2026-05-20 15:15:34	 7907	 -140	209	0	 263.32	 -1	-9 	0
2026-05-20 15:15:35	 7942	 -160	80	0	 305.51	 -1	0 	0
2026-05-20 15:15:37	 7997	 -130	180	0	 31.64	 4	5 	0
2026-05-20 15:15:38	 8032	 96	228	-16	 358.24	 3	-1 	1
2026-05-20 15:15:39	 8067	 155	222	-124	 358.24	 5	-1 	1
2026-05-20 15:15:40	 8102	 414	244	-128	 15.82	 8	1 	0
2026-05-20 15:15:41	 8137	 596	283	-128	 58.01	 0	0 	0
2026-05-20 15:15:42	 8172	 656	303	-128	 45.70	 4	0 	0
2026-05-20 15:15:43	 8207	 742	373	-128	 65.04	 0	0 	0
2026-05-20 15:15:49	 8401	 708	321	-128	 56.25	 -5	-7 	0
2026-05-20 15:15:50	 8436	 571	208	-128	 50.98	 -4	-1 	0
2026-05-20 15:15:51	 8471	 413	208	-128	 26.37	 -4	0 	0
2026-05-20 15:15:52	 8506	 432	232	-128	 19.34	 5	2 	0
2026-05-20 15:15:53	 8541	 387	222	-128	 12.30	 -8	-3 	0
2026-05-20 15:15:54	 8576	 266	210	-128	 7.03	 3	0 	0
2026-05-20 15:15:55	 8611	 474	242	-128	 14.06	 2	0 	0
2026-05-20 15:15:56	 8646	 571	261	-128	 40.43	 0	0 	0
2026-05-20 15:15:57	 8681	 659	303	-128	 47.46	 1	0 	0
2026-05-20 15:15:58	 8716	 745	393	-128	 58.01	 2	2 	0
2026-05-20 15:15:59	 8751	 770	417	-128	 86.13	 0	0 	0
2026-05-20 15:16:00	 8808	 745	265	-128	 66.80	 -3	-3 	0
2026-05-20 15:16:01	 8843	 690	261	-128	 58.01	 3	5 	0
2026-05-20 15:16:02	 8878	 822	456	-128	 98.44	 1	2 	0
2026-05-20 15:16:03	 8913	 801	553	-128	 75.59	 -1	0 	0
2026-05-20 15:16:04	 8948	 820	552	-128	 151.17	 0	-2 	0
2026-05-20 15:16:05	 8983	 784	586	-128	 121.29	 0	1 	0
2026-05-20 15:16:06	 9018	 713	664	-128	 189.84	 -4	1 	0
2026-05-20 15:16:07	 9053	 592	674	-128	 96.68	 0	0 	0
2026-05-20 15:16:08	 9094	 586	751	-128	 28.12	 1	0 	0
2026-05-20 15:16:09	 9129	 797	770	-128	 43.95	 6	1 	0
2026-05-20 15:16:10	 9164	 873	817	-128	 345.94	 0	0 	0
2026-05-20 15:16:11	 9199	 977	694	-128	 277.38	 2	-8 	0
2026-05-20 15:16:12	 9234	 981	666	-128	 178.95	 -1	-1 	0
2026-05-20 15:16:13	 9269	 811	767	-128	 140.27	 -4	3 	0
2026-05-20 15:16:14	 9304	 746	777	-128	 212.34	 -5	-4 	0
2026-05-20 15:16:15	 9339	 598	760	-128	 115.66	 -4	3 	0
2026-05-20 15:16:17	 9379	 645	788	-128	 17.23	 6	1 	0
2026-05-20 15:16:17	 9414	 833	943	-128	 103.36	 0	7 	0
2026-05-20 15:16:19	 9449	 769	1207	-128	 150.82	 -6	5 	0
2026-05-20 15:16:20	 9484	 592	1391	-128	 82.27	 0	0 	0
2026-05-20 15:16:21	 9519	 606	1391	-128	 320.98	 0	0 	0
2026-05-20 15:16:22	 9561	 667	1232	-128	 255.94	 1	-1 	0
2026-05-20 15:16:23	 9596	 697	1288	-128	 197.93	 -6	-2 	0
2026-05-20 15:16:24	 9631	 619	1317	-128	 291.09	 0	4 	0
2026-05-20 15:16:25	 9666	 767	1230	-128	 285.82	 4	-5 	0
2026-05-20 15:16:26	 9701	 733	1140	-128	 190.90	 -7	-3 	0
2026-05-20 15:16:27	 9736	 576	1031	-128	 197.93	 0	-3 	0
2026-05-20 15:16:28	 9771	 637	1030	-128	 197.93	 1	0 	0
2026-05-20 15:16:29	 9806	 589	1017	-128	 185.62	 -1	-1 	0
2026-05-20 15:16:30	 9841	 475	974	-128	 236.60	 -6	-5 	0
2026-05-20 15:16:31	 9876	 408	853	-128	 215.51	 2	2 	0
2026-05-20 15:16:32	 9911	 281	891	-128	 192.66	 -8	0 	0
2026-05-20 15:16:33	 9946	 192	888	-128	 127.62	 -3	2 	0
2026-05-20 15:16:34	 9981	 166	1057	-128	 74.88	 1	7 	0
2026-05-20 15:16:35	 10016	 169	1121	-128	 67.85	 -2	-3 	0
2026-05-20 15:16:36	 10051	 167	1106	-128	 43.24	 3	4 	0
2026-05-20 15:16:37	 10086	 414	1173	-128	 20.39	 8	0 	0
2026-05-20 15:16:39	 10176	 426	1204	-128	 166.29	 -4	0 	0
2026-05-20 15:16:40	 10211	 406	1201	-128	 159.26	 4	-2 	0
2026-05-20 15:16:41	 10246	 477	1173	-128	 162.77	 -3	1 	0
2026-05-20 15:16:42	 10281	 405	1197	-128	 139.92	 -2	0 	0
2026-05-20 15:16:43	 10316	 334	1261	-128	 101.25	 -1	0 	0
2026-05-20 15:16:44	 10354	 351	1298	-128	 59.06	 0	3 	0
2026-05-20 15:16:45	 10389	 324	1328	-128	 20.39	 -1	-1 	0
2026-05-20 15:16:47	 10429	 287	1372	-128	 139.92	 -5	4 	0
2026-05-20 15:16:48	 10464	 208	1455	-128	 161.02	 -1	0 	0
2026-05-20 15:16:49	 10499	 178	1519	-128	 175.08	 -1	0 	0
2026-05-20 15:16:50	 10534	 361	1513	-128	 171.56	 7	-1 	0
2026-05-20 15:16:51	 10569	 485	1408	-128	 48.52	 -3	-6 	0
2026-05-20 15:16:52	 10604	 307	1285	-128	 78.40	 -4	-5 	0
2026-05-20 15:16:53	 10639	 300	1062	-128	 66.09	 -2	-8 	0
