                         Chocolate Doom 3.1.0
Z_Init: Init zone memory allocation daemon. 
zone memory: 0x79eeaf20f010, 2000000 allocated for zone
Using /home/xerok/.local/share/chocolate-doom/ for configuration and saves
V_Init: allocate screens.
M_LoadDefaults: Load system defaults.
saving config in /home/xerok/.local/share/chocolate-doom/default.cfg
W_Init: Init WADfiles.
 adding freedoom-0.13.0/freedoom1.wad
===========================================================================
                           Freedoom: Phase 1
===========================================================================
 Chocolate Doom is free software, covered by the GNU General Public
 License.  There is NO warranty; not even for MERCHANTABILITY or FITNESS
 FOR A PARTICULAR PURPOSE. You are welcome to change and distribute
 copies under certain conditions. See the source for more information.
===========================================================================
I_Init: Setting up machine state.
OPL_Init: Using driver 'SDL'.
NET_Init: Init network subsystem.
M_Init: Init miscellaneous info.
R_Init: Init DOOM refresh daemon - .......................................
P_Init: Init Playloop state.
S_Init: Setting up sound.
I_SDL_PrecacheSounds: Precaching all sound effects.....................
D_CheckNetGame: Checking network game status.
startskill 2  deathmatch: 0  startmap: 1  startepisode: 1
player 1 of 1 (1 nodes)
Emulating the behavior of the 'Ultimate Doom' executable.
HU_Init: Setting up heads up display.
ST_Init: Init status bar.
When: 2026-05-20 15:24:55 Episode: 1 Map: 6
timestamp	 tic	 x	 y	 z	 angle	 momx	 momy
2026-05-20 15:27:23	 5278	 679	-3315	-532	 247.15	 0	-1 	0
2026-05-20 15:27:24	 5313	 702	-3320	-532	 245.39	 0	-1 	0
2026-05-20 15:27:28	 5454	 703	-3389	-537	 245.39	 -1	-7 	0
2026-05-20 15:27:29	 5489	 572	-3577	-596	 299.88	 -2	-8 	0
2026-05-20 15:27:30	 5524	 598	-3853	-644	 264.73	 0	-9 	15
2026-05-20 15:27:31	 5559	 602	-3985	-644	 257.70	 1	5 	15
2026-05-20 15:27:32	 5594	 592	-3900	-644	 257.70	 -2	-5 	15
2026-05-20 15:27:33	 5629	 556	-4056	-644	 257.70	 -2	-6 	15
2026-05-20 15:27:34	 5664	 513	-4212	-668	 305.16	 -1	-1 	0
2026-05-20 15:27:35	 5699	 522	-4223	-668	 301.64	 2	-7 	0
2026-05-20 15:27:36	 5734	 488	-4132	-668	 294.61	 -3	4 	0
2026-05-20 15:27:37	 5769	 463	-4084	-644	 294.61	 -1	0 	0
2026-05-20 15:27:38	 5804	 480	-4136	-668	 294.61	 0	-1 	0
2026-05-20 15:27:39	 5839	 484	-4153	-668	 294.61	 0	-1 	0
2026-05-20 15:27:40	 5874	 474	-4171	-668	 34.61	 -1	-1 	0
When: 2026-05-20 15:27:50 Episode: 2 Map: 1
timestamp	 tic	 x	 y	 z	 angle	 momx	 momy
2026-05-20 15:27:53	 6267	 11	-16	8	 77.87	 0	-1 	0
2026-05-20 15:27:54	 6302	 26	-15	8	 277.38	 0	-1 	0
2026-05-20 15:27:55	 6337	 81	-156	0	 254.53	 1	-2 	0
2026-05-20 15:27:56	 6372	 167	-65	0	 233.44	 4	5 	0
2026-05-20 15:27:57	 6407	 90	-123	0	 240.47	 -4	-4 	0
2026-05-20 15:27:58	 6442	 58	-60	8	 289.69	 -2	6 	0
2026-05-20 15:27:59	 6477	 50	-21	8	 273.87	 0	-6 	0
2026-05-20 15:28:00	 6512	 67	-70	8	 221.13	 0	0 	0
2026-05-20 15:28:01	 6548	 58	-65	8	 207.07	 -1	0 	0
2026-05-20 15:28:02	 6607	 53	-91	8	 62.84	 -1	-1 	0
When: 2026-05-20 15:28:07 Episode: 2 Map: 1
timestamp	 tic	 x	 y	 z	 angle	 momx	 momy
2026-05-20 15:28:09	 6795	 0	-81	8	 270.00	 0	-4 	0
2026-05-20 15:28:10	 6830	 1	-131	0	 148.62	 0	-3 	0
2026-05-20 15:28:11	 6865	 -45	-139	0	 187.56	 -5	1 	0
2026-05-20 15:28:12	 6900	 -161	-159	0	 201.62	 -6	-3 	0
2026-05-20 15:28:13	 6935	 -54	-238	0	 150.64	 6	-4 	0
2026-05-20 15:28:14	 6970	 -62	-245	0	 159.43	 -7	2 	0
